,image_id,area
0,2315,44412.0
1,1860,16113.0
2,20396,20007.0
3,12448,24775.0
4,16657,17374.0
5,38055,70060.0
6,11148,54287.0
7,28832,10265.0
8,15386,28549.0
9,45239,25537.0
10,46157,21724.0
11,35041,20696.0
12,4247,5898.0
13,30111,17814.0
14,23830,26767.0
15,36677,19710.0
16,30618,57.0
17,1219,22265.0
18,15944,19049.0
19,50659,20948.0
20,31221,49500.0
21,25396,22286.0
22,11723,22817.0
23,14591,17194.0
24,56018,36222.0
25,18434,12141.0
26,9364,16848.0
27,58525,13717.0
28,60024,14247.0
29,50950,12924.0
30,16309,21784.0
31,3005,9743.0
32,54731,8016.0
33,49496,18997.0
34,37197,18295.0
35,10912,11964.0
36,28494,28435.0
37,2676,20800.0
38,8826,28243.0
39,59113,6933.0
40,4348,40692.0
41,1767,23020.0
42,29239,11961.0
43,42412,24996.0
44,25096,1341.0
45,36508,32803.0
46,6202,30825.0
47,51167,28515.0
48,6550,26056.0
49,38636,6575.0
50,21309,23764.0
51,7562,1891.0
52,2065,23095.0
53,52346,22650.0
54,24647,24551.0
55,2433,25916.0
56,53508,34891.0
57,4240,18698.0
58,41645,3969.0
59,41065,21564.0
60,2831,340.0
61,8056,26307.0
62,32929,36792.0
63,51536,86.0
64,9225,13480.0
65,1053,28493.0
66,42661,18309.0
67,18093,21674.0
68,33082,22827.0
69,18864,37589.0
70,58754,18646.0
71,11760,21162.0
72,34675,20479.0
73,23607,35047.0
74,41693,20162.0
75,44185,29382.0
76,24260,27372.0
77,6305,7312.0
78,10186,325.0
79,42456,37745.0
80,31790,23918.0
81,39055,30020.0
82,21773,28024.0
83,49358,11360.0
84,5592,19248.0
85,32127,14909.0
86,45513,21918.0
87,42525,25926.0
88,7693,17976.0
89,36964,40510.0
90,51291,6023.0
91,41942,31579.0
92,49244,34022.0
93,30452,26009.0
94,59441,0.0
95,22460,30433.0
96,6976,24622.0
97,54153,11727.0
98,59974,29433.0
99,16180,26579.0
100,39883,489.0
101,45226,11764.0
102,27771,28735.0
103,34857,25094.0
104,49628,21783.0
105,38993,12099.0
106,33635,848.0
107,17928,11103.0
108,40501,26772.0
109,52727,5101.0
110,17095,157.0
111,56297,16039.0
112,59165,13719.0
113,37849,14453.0
114,54511,24374.0
115,6575,3929.0
116,20408,24232.0
117,27851,28210.0
118,855,18502.0
119,24220,5715.0
120,51970,32652.0
121,34809,18510.0
122,42885,17458.0
123,55370,19741.0
124,6194,16483.0
125,31046,8548.0
126,8099,18711.0
127,47077,26829.0
128,29477,18681.0
129,50820,13133.0
130,6246,15440.0
131,7350,20648.0
132,19736,17561.0
133,58916,1823.0
134,33770,23354.0
135,5857,18256.0
136,32810,7976.0
137,5086,22922.0
138,8143,16569.0
139,21875,13050.0
140,31183,9939.0
141,2851,48508.0
142,55535,21200.0
143,42363,29339.0
144,58933,1776.0
145,42326,36675.0
146,46715,19961.0
147,59118,16892.0
148,16058,26147.0
149,22087,24109.0
150,6965,19890.0
151,18344,13322.0
152,16541,32660.0
153,55253,26226.0
154,59998,6876.0
155,32739,10603.0
156,57896,26769.0
157,45852,39479.0
158,37566,23428.0
159,57894,22877.0
160,47047,19279.0
161,30223,16959.0
162,58759,1336.0
163,29418,21827.0
164,31442,23167.0
165,57692,2998.0
166,50996,4450.0
167,50778,23894.0
168,31192,24626.0
169,48790,26968.0
170,14193,1752.0
171,29791,7992.0
172,58135,19142.0
173,7790,18641.0
174,32492,9506.0
175,37044,27156.0
176,51643,14032.0
177,11957,18422.0
178,29238,28562.0
179,18261,59892.0
180,47659,9885.0
181,48266,13112.0
182,16695,7160.0
183,14297,19737.0
184,41851,22483.0
185,5902,14959.0
186,11523,23870.0
187,52686,5535.0
188,22033,22666.0
189,3186,21301.0
190,3744,21410.0
191,59109,16474.0
192,56946,22989.0
193,47360,18057.0
194,21222,8507.0
195,57163,33657.0
196,19174,66987.0
197,25912,23319.0
198,41038,14899.0
199,11400,19804.0
200,43335,32974.0
201,52568,7798.0
202,29505,23039.0
203,25796,18883.0
204,54921,4287.0
205,20018,31613.0
206,59513,21821.0
207,23526,14228.0
208,21534,9703.0
209,60100,31571.0
210,13058,12702.0
211,1357,13271.0
